,,,,,累计确诊,累计康复
2020年1月11日,湖北,武汉市,41,1,41,2
2020年1月12日,湖北,武汉市,0,2,41,6
2020年1月13日,湖北,武汉市,0,3,41,7
2020年1月16日,湖北,武汉市,0,4,41,12
2020年1月18日,湖北,武汉市,4,5,45,15
2020年1月19日,湖北,武汉市,17,6,62,19
2020年1月20日,湖北,武汉市,59,7,121,24
2020年1月20日,湖北,武汉市,77,8,198,25
2020年1月21日,湖北,武汉市,60,9,258,25
2020年1月22日,湖北,武汉市,0,10,258,28
2020年1月22日,湖北,武汉市,105,11,363,28
2020年1月22日,湖北,武汉市,62,12,425,28
封城,,,,,,
2020年1月24日,湖北,武汉市,70,13,495,28
2020年1月24日,湖北,武汉市,0,14,495,31
2020年1月25日,湖北,武汉市,77,15,572,32
2020年1月26日,湖北,武汉市,46,16,618,40
2020年1月27日,湖北,武汉市,80,17,698,42
2020年1月28日,湖北,武汉市,892,18,1590,42
2020年1月28日,湖北,武汉市,0,19,1590,45
2020年1月29日,湖北,武汉市,315,20,1905,45
2020年1月29日,湖北,武汉市,0,21,1905,71
2020年1月29日,湖北,武汉市,0,22,1905,75
2020年1月30日,湖北,武汉市,356,23,2261,82
2020年1月31日,湖北,武汉市,378,24,2639,103
2020年2月1日,湖北,武汉市,576,25,3215,139
2020年2月2日,湖北,武汉市,894,26,4109,171
2020年2月2日,湖北,武汉市,0,27,4109,171
2020年2月3日,湖北,武汉市,1033,28,5142,224
2020年2月4日,湖北,武汉市,1242,29,6384,303
2020年2月5日,湖北,武汉市,1967,30,8351,368
2020年2月5日,湖北,武汉市,0,31,8351,373
2020年2月6日,湖北,武汉市,1766,32,10117,373
2020年2月6日,湖北,武汉市,0,33,10117,373
2020年2月6日,湖北,武汉市,0,34,10117,431
2020年2月6日,湖北,武汉市,0,35,10117,431
2020年2月7日,湖北,武汉市,1501,36,11618,534
2020年2月8日,湖北,武汉市,1985,37,13603,698
2020年2月9日,湖北,武汉市,1379,38,14982,877
2020年2月10日,湖北,武汉市,1920,39,16902,1044
2020年2月11日,湖北,武汉市,1552,40,18454,1206
